Year,Format,Country,From,Score_type,Score,N_score
1971,Final,Sweden,Netherlands,Jury,9,10.625
1971,Final,Sweden,Switzerland,Jury,9,10.625
1971,Final,Sweden,Austria,Jury,7,7.875
1971,Final,Sweden,Italy,Jury,6,6.5
1971,Final,Sweden,Norway,Jury,6,6.5
1971,Final,Sweden,Yugoslavia,Jury,6,6.5
1971,Final,Sweden,Belgium,Jury,6,6.5
1971,Final,Sweden,France,Jury,5,5.125
1971,Final,Sweden,United Kingdom,Jury,5,5.125
1971,Final,Sweden,Finland,Jury,4,3.75
1971,Final,Sweden,Malta,Jury,4,3.75
1971,Final,Sweden,Monaco,Jury,4,3.75
1971,Final,Sweden,Germany,Jury,4,3.75
1971,Final,Sweden,Portugal,Jury,3,2.375
1971,Final,Sweden,Ireland,Jury,3,2.375
1971,Final,Sweden,Luxembourg,Jury,2,1.0
1971,Final,Sweden,Spain,Jury,2,1.0
1971,Final,Ireland,Austria,Jury,7,7.875
1971,Final,Ireland,France,Jury,7,7.875
1971,Final,Ireland,United Kingdom,Jury,6,6.5
1971,Final,Ireland,Malta,Jury,6,6.5
1971,Final,Ireland,Monaco,Jury,6,6.5
1971,Final,Ireland,Italy,Jury,6,6.5
1971,Final,Ireland,Spain,Jury,5,5.125
1971,Final,Ireland,Yugoslavia,Jury,5,5.125
1971,Final,Ireland,Netherlands,Jury,5,5.125
1971,Final,Ireland,Norway,Jury,4,3.75
1971,Final,Ireland,Finland,Jury,4,3.75
1971,Final,Ireland,Germany,Jury,4,3.75
1971,Final,Ireland,Portugal,Jury,4,3.75
1971,Final,Ireland,Switzerland,Jury,3,2.375
1971,Final,Ireland,Belgium,Jury,3,2.375
1971,Final,Ireland,Luxembourg,Jury,2,1.0
1971,Final,Ireland,Sweden,Jury,2,1.0
1971,Final,Netherlands,Portugal,Jury,9,10.625
1971,Final,Netherlands,Norway,Jury,8,9.25
1971,Final,Netherlands,France,Jury,7,7.875
1971,Final,Netherlands,Finland,Jury,6,6.5
1971,Final,Netherlands,Monaco,Jury,6,6.5
1971,Final,Netherlands,Austria,Jury,6,6.5
1971,Final,Netherlands,Sweden,Jury,6,6.5
1971,Final,Netherlands,Ireland,Jury,5,5.125
1971,Final,Netherlands,Spain,Jury,5,5.125
1971,Final,Netherlands,United Kingdom,Jury,5,5.125
1971,Final,Netherlands,Yugoslavia,Jury,5,5.125
1971,Final,Netherlands,Switzerland,Jury,5,5.125
1971,Final,Netherlands,Germany,Jury,4,3.75
1971,Final,Netherlands,Malta,Jury,2,1.0
1971,Final,Netherlands,Belgium,Jury,2,1.0
1971,Final,Netherlands,Luxembourg,Jury,2,1.0
1971,Final,Netherlands,Italy,Jury,2,1.0
1971,Final,Portugal,Spain,Jury,10,12.0
1971,Final,Portugal,France,Jury,8,9.25
1971,Final,Portugal,United Kingdom,Jury,6,6.5
1971,Final,Portugal,Yugoslavia,Jury,6,6.5
1971,Final,Portugal,Monaco,Jury,6,6.5
1971,Final,Portugal,Norway,Jury,5,5.125
1971,Final,Portugal,Finland,Jury,5,5.125
1971,Final,Portugal,Germany,Jury,5,5.125
1971,Final,Portugal,Luxembourg,Jury,5,5.125
1971,Final,Portugal,Netherlands,Jury,5,5.125
1971,Final,Portugal,Austria,Jury,4,3.75
1971,Final,Portugal,Belgium,Jury,4,3.75
1971,Final,Portugal,Italy,Jury,4,3.75
1971,Final,Portugal,Ireland,Jury,3,2.375
1971,Final,Portugal,Malta,Jury,3,2.375
1971,Final,Portugal,Switzerland,Jury,2,1.0
1971,Final,Portugal,Sweden,Jury,2,1.0
1971,Final,Yugoslavia,Germany,Jury,7,7.875
1971,Final,Yugoslavia,Austria,Jury,6,6.5
1971,Final,Yugoslavia,France,Jury,6,6.5
1971,Final,Yugoslavia,Spain,Jury,6,6.5
1971,Final,Yugoslavia,Italy,Jury,5,5.125
1971,Final,Yugoslavia,Ireland,Jury,5,5.125
1971,Final,Yugoslavia,Norway,Jury,5,5.125
1971,Final,Yugoslavia,Monaco,Jury,4,3.75
1971,Final,Yugoslavia,Netherlands,Jury,4,3.75
1971,Final,Yugoslavia,Portugal,Jury,4,3.75
1971,Final,Yugoslavia,Finland,Jury,3,2.375
1971,Final,Yugoslavia,United Kingdom,Jury,3,2.375
1971,Final,Yugoslavia,Malta,Jury,2,1.0
1971,Final,Yugoslavia,Switzerland,Jury,2,1.0
1971,Final,Yugoslavia,Belgium,Jury,2,1.0
1971,Final,Yugoslavia,Luxembourg,Jury,2,1.0
1971,Final,Yugoslavia,Sweden,Jury,2,1.0
1971,Final,Finland,Belgium,Jury,10,12.0
1971,Final,Finland,United Kingdom,Jury,10,12.0
1971,Final,Finland,Portugal,Jury,8,9.25
1971,Final,Finland,Yugoslavia,Jury,6,6.5
1971,Final,Finland,Ireland,Jury,6,6.5
1971,Final,Finland,Norway,Jury,6,6.5
1971,Final,Finland,Malta,Jury,4,3.75
1971,Final,Finland,Monaco,Jury,4,3.75
1971,Final,Finland,Germany,Jury,4,3.75
1971,Final,Finland,Austria,Jury,4,3.75
1971,Final,Finland,Switzerland,Jury,4,3.75
1971,Final,Finland,France,Jury,4,3.75
1971,Final,Finland,Sweden,Jury,4,3.75
1971,Final,Finland,Netherlands,Jury,3,2.375
1971,Final,Finland,Spain,Jury,3,2.375
1971,Final,Finland,Luxembourg,Jury,2,1.0
1971,Final,Finland,Italy,Jury,2,1.0
1971,Final,Norway,Ireland,Jury,7,7.875
1971,Final,Norway,United Kingdom,Jury,7,7.875
1971,Final,Norway,Monaco,Jury,6,6.5
1971,Final,Norway,Belgium,Jury,6,6.5
1971,Final,Norway,France,Jury,5,5.125
1971,Final,Norway,Portugal,Jury,5,5.125
1971,Final,Norway,Yugoslavia,Jury,4,3.75
1971,Final,Norway,Switzerland,Jury,4,3.75
1971,Final,Norway,Finland,Jury,3,2.375
1971,Final,Norway,Malta,Jury,3,2.375
1971,Final,Norway,Austria,Jury,3,2.375
1971,Final,Norway,Luxembourg,Jury,2,1.0
1971,Final,Norway,Italy,Jury,2,1.0
1971,Final,Norway,Netherlands,Jury,2,1.0
1971,Final,Norway,Sweden,Jury,2,1.0
1971,Final,Norway,Spain,Jury,2,1.0
1971,Final,Norway,Germany,Jury,2,1.0
1972,Final,Germany,Spain,Jury,9,10.625
1972,Final,Germany,Monaco,Jury,8,9.25
1972,Final,Germany,Sweden,Jury,8,9.25
1972,Final,Germany,France,Jury,8,9.25
1972,Final,Germany,Belgium,Jury,7,7.875
1972,Final,Germany,Luxembourg,Jury,7,7.875
1972,Final,Germany,Italy,Jury,7,7.875
1972,Final,Germany,Netherlands,Jury,6,6.5
1972,Final,Germany,Portugal,Jury,6,6.5
1972,Final,Germany,Ireland,Jury,6,6.5
1972,Final,Germany,Norway,Jury,6,6.5
1972,Final,Germany,Yugoslavia,Jury,5,5.125
1972,Final,Germany,Austria,Jury,5,5.125
1972,Final,Germany,Switzerland,Jury,5,5.125
1972,Final,Germany,Finland,Jury,5,5.125
1972,Final,Germany,United Kingdom,Jury,5,5.125
1972,Final,Germany,Malta,Jury,4,3.75
1972,Final,France,United Kingdom,Jury,9,10.625
1972,Final,France,Luxembourg,Jury,8,9.25
1972,Final,France,Belgium,Jury,7,7.875
1972,Final,France,Norway,Jury,7,7.875
1972,Final,France,Monaco,Jury,6,6.5
1972,Final,France,Netherlands,Jury,6,6.5
1972,Final,France,Malta,Jury,5,5.125
1972,Final,France,Germany,Jury,5,5.125
1972,Final,France,Ireland,Jury,5,5.125
1972,Final,France,Yugoslavia,Jury,5,5.125
1972,Final,France,Finland,Jury,4,3.75
1972,Final,France,Switzerland,Jury,3,2.375
1972,Final,France,Italy,Jury,3,2.375
1972,Final,France,Austria,Jury,2,1.0
1972,Final,France,Sweden,Jury,2,1.0
1972,Final,France,Portugal,Jury,2,1.0
1972,Final,France,Spain,Jury,2,1.0
1972,Final,Ireland,Luxembourg,Jury,6,6.5
1972,Final,Ireland,Norway,Jury,6,6.5
1972,Final,Ireland,Malta,Jury,6,6.5
1972,Final,Ireland,Netherlands,Jury,5,5.125
1972,Final,Ireland,Sweden,Jury,5,5.125
1972,Final,Ireland,Monaco,Jury,5,5.125
1972,Final,Ireland,Belgium,Jury,4,3.75
1972,Final,Ireland,Portugal,Jury,4,3.75
1972,Final,Ireland,Spain,Jury,4,3.75
1972,Final,Ireland,United Kingdom,Jury,4,3.75
1972,Final,Ireland,Germany,Jury,4,3.75
1972,Final,Ireland,Austria,Jury,4,3.75
1972,Final,Ireland,Switzerland,Jury,3,2.375
1972,Final,Ireland,Italy,Jury,3,2.375
1972,Final,Ireland,France,Jury,3,2.375
1972,Final,Ireland,Finland,Jury,3,2.375
1972,Final,Ireland,Yugoslavia,Jury,3,2.375
1972,Final,Spain,Monaco,Jury,8,9.25
1972,Final,Spain,Norway,Jury,8,9.25
1972,Final,Spain,Germany,Jury,7,7.875
1972,Final,Spain,Sweden,Jury,7,7.875
1972,Final,Spain,Portugal,Jury,6,6.5
1972,Final,Spain,Austria,Jury,5,5.125
1972,Final,Spain,Luxembourg,Jury,5,5.125
1972,Final,Spain,Netherlands,Jury,5,5.125
1972,Final,Spain,France,Jury,5,5.125
1972,Final,Spain,Ireland,Jury,5,5.125
1972,Final,Spain,Malta,Jury,4,3.75
1972,Final,Spain,Finland,Jury,4,3.75
1972,Final,Spain,Switzerland,Jury,3,2.375
1972,Final,Spain,Belgium,Jury,3,2.375
1972,Final,Spain,Italy,Jury,3,2.375
1972,Final,Spain,United Kingdom,Jury,3,2.375
1972,Final,Spain,Yugoslavia,Jury,2,1.0
1972,Final,United Kingdom,Norway,Jury,10,12.0
1972,Final,United Kingdom,France,Jury,9,10.625
1972,Final,United Kingdom,Yugoslavia,Jury,9,10.625
1972,Final,United Kingdom,Monaco,Jury,9,10.625
1972,Final,United Kingdom,Netherlands,Jury,8,9.25
1972,Final,United Kingdom,Germany,Jury,8,9.25
1972,Final,United Kingdom,Switzerland,Jury,8,9.25
1972,Final,United Kingdom,Luxembourg,Jury,8,9.25
1972,Final,United Kingdom,Italy,Jury,7,7.875
1972,Final,United Kingdom,Finland,Jury,7,7.875
1972,Final,United Kingdom,Austria,Jury,7,7.875
1972,Final,United Kingdom,Sweden,Jury,6,6.5
1972,Final,United Kingdom,Ireland,Jury,6,6.5
1972,Final,United Kingdom,Portugal,Jury,4,3.75
1972,Final,United Kingdom,Belgium,Jury,4,3.75
1972,Final,United Kingdom,Spain,Jury,2,1.0
1972,Final,United Kingdom,Malta,Jury,2,1.0
1972,Final,Norway,Finland,Jury,7,7.875
1972,Final,Norway,Luxembourg,Jury,6,6.5
1972,Final,Norway,Ireland,Jury,6,6.5
1972,Final,Norway,Malta,Jury,5,5.125
1972,Final,Norway,Yugoslavia,Jury,5,5.125
1972,Final,Norway,Portugal,Jury,5,5.125
1972,Final,Norway,Spain,Jury,5,5.125
1972,Final,Norway,Monaco,Jury,4,3.75
1972,Final,Norway,Germany,Jury,4,3.75
1972,Final,Norway,Belgium,Jury,4,3.75
1972,Final,Norway,Netherlands,Jury,4,3.75
1972,Final,Norway,Sweden,Jury,4,3.75
1972,Final,Norway,United Kingdom,Jury,4,3.75
1972,Final,Norway,Austria,Jury,3,2.375
1972,Final,Norway,France,Jury,3,2.375
1972,Final,Norway,Switzerland,Jury,2,1.0
1972,Final,Norway,Italy,Jury,2,1.0
1972,Final,Portugal,Luxembourg,Jury,10,12.0
1972,Final,Portugal,Italy,Jury,9,10.625
1972,Final,Portugal,Belgium,Jury,7,7.875
1972,Final,Portugal,Sweden,Jury,7,7.875
1972,Final,Portugal,Ireland,Jury,7,7.875
1972,Final,Portugal,Spain,Jury,7,7.875
1972,Final,Portugal,Switzerland,Jury,6,6.5
1972,Final,Portugal,Netherlands,Jury,5,5.125
1972,Final,Portugal,Malta,Jury,5,5.125
1972,Final,Portugal,Austria,Jury,4,3.75
1972,Final,Portugal,France,Jury,4,3.75
1972,Final,Portugal,United Kingdom,Jury,4,3.75
1972,Final,Portugal,Yugoslavia,Jury,4,3.75
1972,Final,Portugal,Monaco,Jury,4,3.75
1972,Final,Portugal,Germany,Jury,3,2.375
1972,Final,Portugal,Norway,Jury,2,1.0
1972,Final,Portugal,Finland,Jury,2,1.0
1972,Final,Switzerland,Austria,Jury,8,9.25
1972,Final,Switzerland,Luxembourg,Jury,7,7.875
1972,Final,Switzerland,Norway,Jury,7,7.875
1972,Final,Switzerland,Finland,Jury,7,7.875
1972,Final,Switzerland,Ireland,Jury,6,6.5
1972,Final,Switzerland,Monaco,Jury,6,6.5
1972,Final,Switzerland,Netherlands,Jury,5,5.125
1972,Final,Switzerland,Italy,Jury,5,5.125
1972,Final,Switzerland,France,Jury,5,5.125
1972,Final,Switzerland,Spain,Jury,5,5.125
1972,Final,Switzerland,Yugoslavia,Jury,5,5.125
1972,Final,Switzerland,Belgium,Jury,4,3.75
1972,Final,Switzerland,Sweden,Jury,4,3.75
1972,Final,Switzerland,United Kingdom,Jury,4,3.75
1972,Final,Switzerland,Malta,Jury,4,3.75
1972,Final,Switzerland,Germany,Jury,4,3.75
1972,Final,Switzerland,Portugal,Jury,2,1.0
1972,Final,Malta,United Kingdom,Jury,6,6.5
1972,Final,Malta,Finland,Jury,5,5.125
1972,Final,Malta,Netherlands,Jury,4,3.75
1972,Final,Malta,Ireland,Jury,4,3.75
1972,Final,Malta,Sweden,Jury,3,2.375
1972,Final,Malta,Monaco,Jury,3,2.375
1972,Final,Malta,Germany,Jury,3,2.375
1972,Final,Malta,Luxembourg,Jury,2,1.0
1972,Final,Malta,Italy,Jury,2,1.0
1972,Final,Malta,France,Jury,2,1.0
1972,Final,Malta,Portugal,Jury,2,1.0
1972,Final,Malta,Spain,Jury,2,1.0
1972,Final,Malta,Norway,Jury,2,1.0
1972,Final,Malta,Yugoslavia,Jury,2,1.0
1972,Final,Malta,Austria,Jury,2,1.0
1972,Final,Malta,Switzerland,Jury,2,1.0
1972,Final,Malta,Belgium,Jury,2,1.0
1972,Final,Finland,Netherlands,Jury,8,9.25
1972,Final,Finland,Belgium,Jury,8,9.25
1972,Final,Finland,Luxembourg,Jury,6,6.5
1972,Final,Finland,Spain,Jury,6,6.5
1972,Final,Finland,Norway,Jury,6,6.5
1972,Final,Finland,United Kingdom,Jury,5,5.125
1972,Final,Finland,Monaco,Jury,5,5.125
1972,Final,Finland,Sweden,Jury,4,3.75
1972,Final,Finland,Portugal,Jury,4,3.75
1972,Final,Finland,Yugoslavia,Jury,4,3.75
1972,Final,Finland,Germany,Jury,4,3.75
1972,Final,Finland,Italy,Jury,3,2.375
1972,Final,Finland,France,Jury,3,2.375
1972,Final,Finland,Ireland,Jury,3,2.375
1972,Final,Finland,Malta,Jury,3,2.375
1972,Final,Finland,Austria,Jury,3,2.375
1972,Final,Finland,Switzerland,Jury,3,2.375
1972,Final,Austria,Sweden,Jury,10,12.0
1972,Final,Austria,Netherlands,Jury,9,10.625
1972,Final,Austria,Yugoslavia,Jury,8,9.25
1972,Final,Austria,Switzerland,Jury,7,7.875
1972,Final,Austria,Italy,Jury,6,6.5
1972,Final,Austria,France,Jury,6,6.5
1972,Final,Austria,Ireland,Jury,6,6.5
1972,Final,Austria,Spain,Jury,6,6.5
1972,Final,Austria,Germany,Jury,6,6.5
1972,Final,Austria,Luxembourg,Jury,5,5.125
1972,Final,Austria,Portugal,Jury,5,5.125
1972,Final,Austria,Norway,Jury,5,5.125
1972,Final,Austria,Malta,Jury,5,5.125
1972,Final,Austria,Monaco,Jury,5,5.125
1972,Final,Austria,Belgium,Jury,4,3.75
1972,Final,Austria,Finland,Jury,4,3.75
1972,Final,Austria,United Kingdom,Jury,3,2.375
1972,Final,Italy,Switzerland,Jury,9,10.625
1972,Final,Italy,Sweden,Jury,8,9.25
1972,Final,Italy,Portugal,Jury,7,7.875
1972,Final,Italy,Norway,Jury,6,6.5
1972,Final,Italy,Finland,Jury,6,6.5
1972,Final,Italy,Malta,Jury,6,6.5
1972,Final,Italy,Monaco,Jury,6,6.5
1972,Final,Italy,Austria,Jury,6,6.5
1972,Final,Italy,Belgium,Jury,6,6.5
1972,Final,Italy,Luxembourg,Jury,6,6.5
1972,Final,Italy,Netherlands,Jury,5,5.125
1972,Final,Italy,France,Jury,5,5.125
1972,Final,Italy,Yugoslavia,Jury,4,3.75
1972,Final,Italy,Germany,Jury,4,3.75
1972,Final,Italy,United Kingdom,Jury,3,2.375
1972,Final,Italy,Ireland,Jury,3,2.375
1972,Final,Italy,Spain,Jury,2,1.0
1972,Final,Yugoslavia,Monaco,Jury,9,10.625
1972,Final,Yugoslavia,Belgium,Jury,8,9.25
1972,Final,Yugoslavia,Luxembourg,Jury,8,9.25
1972,Final,Yugoslavia,Spain,Jury,8,9.25
1972,Final,Yugoslavia,Germany,Jury,7,7.875
1972,Final,Yugoslavia,Netherlands,Jury,6,6.5
1972,Final,Yugoslavia,Portugal,Jury,5,5.125
1972,Final,Yugoslavia,Ireland,Jury,5,5.125
1972,Final,Yugoslavia,United Kingdom,Jury,5,5.125
1972,Final,Yugoslavia,Malta,Jury,4,3.75
1972,Final,Yugoslavia,Sweden,Jury,4,3.75
1972,Final,Yugoslavia,France,Jury,4,3.75
1972,Final,Yugoslavia,Norway,Jury,4,3.75
1972,Final,Yugoslavia,Austria,Jury,3,2.375
1972,Final,Yugoslavia,Finland,Jury,3,2.375
1972,Final,Yugoslavia,Switzerland,Jury,2,1.0
1972,Final,Yugoslavia,Italy,Jury,2,1.0
1972,Final,Sweden,Yugoslavia,Jury,7,7.875
1972,Final,Sweden,Belgium,Jury,7,7.875
1972,Final,Sweden,Luxembourg,Jury,5,5.125
1972,Final,Sweden,Netherlands,Jury,5,5.125
1972,Final,Sweden,Ireland,Jury,5,5.125
1972,Final,Sweden,Norway,Jury,5,5.125
1972,Final,Sweden,Finland,Jury,5,5.125
1972,Final,Sweden,Monaco,Jury,5,5.125
1972,Final,Sweden,Germany,Jury,5,5.125
1972,Final,Sweden,Portugal,Jury,4,3.75
1972,Final,Sweden,Malta,Jury,4,3.75
1972,Final,Sweden,Austria,Jury,4,3.75
1972,Final,Sweden,Italy,Jury,3,2.375
1972,Final,Sweden,France,Jury,3,2.375
1972,Final,Sweden,Spain,Jury,3,2.375
1972,Final,Sweden,United Kingdom,Jury,3,2.375
1972,Final,Sweden,Switzerland,Jury,2,1.0
1972,Final,Monaco,Norway,Jury,6,6.5
1972,Final,Monaco,Finland,Jury,5,5.125
1972,Final,Monaco,Malta,Jury,5,5.125
1972,Final,Monaco,Netherlands,Jury,5,5.125
1972,Final,Monaco,United Kingdom,Jury,5,5.125
1972,Final,Monaco,Yugoslavia,Jury,4,3.75
1972,Final,Monaco,Germany,Jury,4,3.75
1972,Final,Monaco,Belgium,Jury,4,3.75
1972,Final,Monaco,Luxembourg,Jury,4,3.75
1972,Final,Monaco,Ireland,Jury,4,3.75
1972,Final,Monaco,Austria,Jury,3,2.375
1972,Final,Monaco,Italy,Jury,3,2.375
1972,Final,Monaco,France,Jury,3,2.375
1972,Final,Monaco,Sweden,Jury,3,2.375
1972,Final,Monaco,Spain,Jury,3,2.375
1972,Final,Monaco,Switzerland,Jury,2,1.0
1972,Final,Monaco,Portugal,Jury,2,1.0
1972,Final,Belgium,Luxembourg,Jury,6,6.5
1972,Final,Belgium,United Kingdom,Jury,5,5.125
1972,Final,Belgium,Malta,Jury,5,5.125
1972,Final,Belgium,Ireland,Jury,4,3.75
1972,Final,Belgium,Finland,Jury,4,3.75
1972,Final,Belgium,Monaco,Jury,4,3.75
1972,Final,Belgium,Switzerland,Jury,3,2.375
1972,Final,Belgium,Netherlands,Jury,3,2.375
1972,Final,Belgium,Italy,Jury,3,2.375
1972,Final,Belgium,France,Jury,3,2.375
1972,Final,Belgium,Portugal,Jury,3,2.375
1972,Final,Belgium,Norway,Jury,2,1.0
1972,Final,Belgium,Spain,Jury,2,1.0
1972,Final,Belgium,Yugoslavia,Jury,2,1.0
1972,Final,Belgium,Germany,Jury,2,1.0
1972,Final,Belgium,Austria,Jury,2,1.0
1972,Final,Belgium,Sweden,Jury,2,1.0
1972,Final,Luxembourg,United Kingdom,Jury,10,12.0
1972,Final,Luxembourg,Yugoslavia,Jury,10,12.0
1972,Final,Luxembourg,Ireland,Jury,9,10.625
1972,Final,Luxembourg,Germany,Jury,9,10.625
1972,Final,Luxembourg,Netherlands,Jury,9,10.625
1972,Final,Luxembourg,Italy,Jury,9,10.625
1972,Final,Luxembourg,Norway,Jury,8,9.25
1972,Final,Luxembourg,Austria,Jury,8,9.25
1972,Final,Luxembourg,Belgium,Jury,8,9.25
1972,Final,Luxembourg,Sweden,Jury,8,9.25
1972,Final,Luxembourg,France,Jury,8,9.25
1972,Final,Luxembourg,Monaco,Jury,7,7.875
1972,Final,Luxembourg,Portugal,Jury,7,7.875
1972,Final,Luxembourg,Finland,Jury,6,6.5
1972,Final,Luxembourg,Switzerland,Jury,6,6.5
1972,Final,Luxembourg,Malta,Jury,4,3.75
1972,Final,Luxembourg,Spain,Jury,2,1.0
1972,Final,Netherlands,Finland,Jury,9,10.625
1972,Final,Netherlands,United Kingdom,Jury,9,10.625
1972,Final,Netherlands,Yugoslavia,Jury,9,10.625
1972,Final,Netherlands,Ireland,Jury,8,9.25
1972,Final,Netherlands,Norway,Jury,8,9.25
1972,Final,Netherlands,Spain,Jury,8,9.25
1972,Final,Netherlands,Luxembourg,Jury,7,7.875
1972,Final,Netherlands,Sweden,Jury,6,6.5
1972,Final,Netherlands,France,Jury,6,6.5
1972,Final,Netherlands,Germany,Jury,6,6.5
1972,Final,Netherlands,Austria,Jury,6,6.5
1972,Final,Netherlands,Switzerland,Jury,6,6.5
1972,Final,Netherlands,Portugal,Jury,5,5.125
1972,Final,Netherlands,Monaco,Jury,5,5.125
1972,Final,Netherlands,Italy,Jury,3,2.375
1972,Final,Netherlands,Malta,Jury,3,2.375
1972,Final,Netherlands,Belgium,Jury,2,1.0
1973,Final,Finland,Belgium,Jury,9,10.625
1973,Final,Finland,United Kingdom,Jury,9,10.625
1973,Final,Finland,Yugoslavia,Jury,7,7.875
1973,Final,Finland,Sweden,Jury,7,7.875
1973,Final,Finland,Germany,Jury,6,6.5
1973,Final,Finland,Switzerland,Jury,6,6.5
1973,Final,Finland,Luxembourg,Jury,6,6.5
1973,Final,Finland,Spain,Jury,6,6.5
1973,Final,Finland,Norway,Jury,6,6.5
1973,Final,Finland,Monaco,Jury,5,5.125
1973,Final,Finland,Netherlands,Jury,5,5.125
1973,Final,Finland,Israel,Jury,5,5.125
1973,Final,Finland,Ireland,Jury,5,5.125
1973,Final,Finland,Portugal,Jury,5,5.125
1973,Final,Finland,France,Jury,4,3.75
1973,Final,Finland,Italy,Jury,2,1.0
1973,Final,Belgium,Spain,Jury,6,6.5
1973,Final,Belgium,Monaco,Jury,6,6.5
1973,Final,Belgium,United Kingdom,Jury,5,5.125
1973,Final,Belgium,Ireland,Jury,4,3.75
1973,Final,Belgium,Finland,Jury,4,3.75
1973,Final,Belgium,Yugoslavia,Jury,4,3.75
1973,Final,Belgium,Germany,Jury,4,3.75
1973,Final,Belgium,Switzerland,Jury,4,3.75
1973,Final,Belgium,Luxembourg,Jury,4,3.75
1973,Final,Belgium,Norway,Jury,3,2.375
1973,Final,Belgium,Netherlands,Jury,3,2.375
1973,Final,Belgium,Portugal,Jury,3,2.375
1973,Final,Belgium,Sweden,Jury,2,1.0
1973,Final,Belgium,Italy,Jury,2,1.0
1973,Final,Belgium,Israel,Jury,2,1.0
1973,Final,Belgium,France,Jury,2,1.0
1973,Final,Portugal,Spain,Jury,8,9.25
1973,Final,Portugal,Switzerland,Jury,8,9.25
1973,Final,Portugal,France,Jury,6,6.5
1973,Final,Portugal,Yugoslavia,Jury,6,6.5
1973,Final,Portugal,Belgium,Jury,6,6.5
1973,Final,Portugal,Netherlands,Jury,5,5.125
1973,Final,Portugal,Israel,Jury,5,5.125
1973,Final,Portugal,Norway,Jury,5,5.125
1973,Final,Portugal,United Kingdom,Jury,5,5.125
1973,Final,Portugal,Germany,Jury,5,5.125
1973,Final,Portugal,Ireland,Jury,4,3.75
1973,Final,Portugal,Finland,Jury,4,3.75
1973,Final,Portugal,Monaco,Jury,4,3.75
1973,Final,Portugal,Luxembourg,Jury,4,3.75
1973,Final,Portugal,Italy,Jury,3,2.375
1973,Final,Portugal,Sweden,Jury,2,1.0
1973,Final,Germany,Spain,Jury,9,10.625
1973,Final,Germany,Luxembourg,Jury,7,7.875
1973,Final,Germany,France,Jury,7,7.875
1973,Final,Germany,Switzerland,Jury,7,7.875
1973,Final,Germany,Sweden,Jury,6,6.5
1973,Final,Germany,Portugal,Jury,6,6.5
1973,Final,Germany,Ireland,Jury,6,6.5
1973,Final,Germany,Belgium,Jury,5,5.125
1973,Final,Germany,Netherlands,Jury,5,5.125
1973,Final,Germany,United Kingdom,Jury,5,5.125
1973,Final,Germany,Monaco,Jury,5,5.125
1973,Final,Germany,Israel,Jury,4,3.75
1973,Final,Germany,Norway,Jury,4,3.75
1973,Final,Germany,Yugoslavia,Jury,4,3.75
1973,Final,Germany,Italy,Jury,3,2.375
1973,Final,Germany,Finland,Jury,2,1.0
1973,Final,Norway,Israel,Jury,9,10.625
1973,Final,Norway,Finland,Jury,8,9.25
1973,Final,Norway,Monaco,Jury,7,7.875
1973,Final,Norway,Switzerland,Jury,7,7.875
1973,Final,Norway,Luxembourg,Jury,7,7.875
1973,Final,Norway,Yugoslavia,Jury,6,6.5
1973,Final,Norway,Germany,Jury,6,6.5
1973,Final,Norway,France,Jury,6,6.5
1973,Final,Norway,Spain,Jury,6,6.5
1973,Final,Norway,Belgium,Jury,5,5.125
1973,Final,Norway,Italy,Jury,5,5.125
1973,Final,Norway,Portugal,Jury,5,5.125
1973,Final,Norway,Netherlands,Jury,3,2.375
1973,Final,Norway,Sweden,Jury,3,2.375
1973,Final,Norway,Ireland,Jury,3,2.375
1973,Final,Norway,United Kingdom,Jury,3,2.375
1973,Final,Monaco,Yugoslavia,Jury,9,10.625
1973,Final,Monaco,United Kingdom,Jury,9,10.625
1973,Final,Monaco,Italy,Jury,8,9.25
1973,Final,Monaco,Finland,Jury,6,6.5
1973,Final,Monaco,Luxembourg,Jury,6,6.5
1973,Final,Monaco,Ireland,Jury,6,6.5
1973,Final,Monaco,Spain,Jury,6,6.5
1973,Final,Monaco,Switzerland,Jury,5,5.125
1973,Final,Monaco,Netherlands,Jury,5,5.125
1973,Final,Monaco,France,Jury,5,5.125
1973,Final,Monaco,Germany,Jury,4,3.75
1973,Final,Monaco,Sweden,Jury,4,3.75
1973,Final,Monaco,Israel,Jury,4,3.75
1973,Final,Monaco,Belgium,Jury,3,2.375
1973,Final,Monaco,Norway,Jury,3,2.375
1973,Final,Monaco,Portugal,Jury,2,1.0
1973,Final,Spain,Netherlands,Jury,10,12.0
1973,Final,Spain,Italy,Jury,10,12.0
1973,Final,Spain,Ireland,Jury,10,12.0
1973,Final,Spain,Monaco,Jury,9,10.625
1973,Final,Spain,Germany,Jury,9,10.625
1973,Final,Spain,France,Jury,9,10.625
1973,Final,Spain,Portugal,Jury,9,10.625
1973,Final,Spain,Yugoslavia,Jury,9,10.625
1973,Final,Spain,Switzerland,Jury,8,9.25
1973,Final,Spain,Belgium,Jury,8,9.25
1973,Final,Spain,Luxembourg,Jury,8,9.25
1973,Final,Spain,Israel,Jury,8,9.25
1973,Final,Spain,Sweden,Jury,7,7.875
1973,Final,Spain,Norway,Jury,4,3.75
1973,Final,Spain,United Kingdom,Jury,4,3.75
1973,Final,Spain,Finland,Jury,3,2.375
1973,Final,Switzerland,Netherlands,Jury,8,9.25
1973,Final,Switzerland,Ireland,Jury,7,7.875
1973,Final,Switzerland,Norway,Jury,7,7.875
